home,opponent,date,time,link
RSL,CHI,2018-08-04,20:00:00,rsl.com/tickets
RSL,MTL,2018-08-11,20:00:00,rsl.com/tickets
RSL,LA,2018-09-01,20:00:00,rsl.com/tickets
RSL,MIN,2018-09-15,19:30:00,rsl.com/tickets
RSL,POR,2018-10-06,19:30:00,rsl.com/tickets
RSL,NE,2018-10-18,19:00:00,rsl.com/tickets
